reward,reward_accumulate
-0.4232774187649358,-0.4232774187649358
-0.08348636186463206,-0.253381890314784
-0.07649345588852653,-0.1944190788393647
-0.034253788347480045,-0.1543777562163938
-0.0663564668574013,-0.13677349834459557
-0.07215931588622645,-0.12600446793486722
-0.07941733531901399,-0.11934916327545979
-0.07806709282409503,-0.11418890446903933
-0.0662761485847552,-0.108865264926341
-0.061124771162747824,-0.10409121554998153
-0.049838081728064844,-0.09915911247526171
-0.035723539857980185,-0.09387281475715488
-0.06750969410962772,-0.09184488239965283
-0.06090907744367037,-0.08963518204565417
-0.08258230598226601,-0.08916499030809485
-0.07823549376334053,-0.0884818967740478
-0.07923320561876064,-0.0879378561178544
-0.06408064160504458,-0.08661245531158711
