reward,reward_accumulate
-0.4316016080718975,-0.4316016080718975
-0.17124193324355613,-0.30142177065772796
-0.13863360519835666,-0.24715904883793804
-0.10933803148138455,-0.21270379449879978
-0.10011443099173763,-0.19018592179738725
-0.08504071560162423,-0.17266172076476002
-0.10540072483414246,-0.16305300706038614
-0.10391337537432108,-0.155660553099628
-0.09687527567315417,-0.14912885560779757
-0.10095937790711462,-0.14431190783772946
-0.09336042669825562,-0.1396799550068681
-0.09035886582398317,-0.13556986424162754
-0.07514481829708283,-0.13092178378435504
-0.090412564371165,-0.1280282681119842
-0.09091791982147412,-0.12555424489261668
-0.08196335217636823,-0.12282981409785132
-0.07916761558083596,-0.12026144947920323
-0.0848125751944891,-0.11829206757449676
-0.08422415698563572,-0.11649901964876737
-0.0732551069108237,-0.11433682401187024
-0.08519564480980125,-0.11294914881177165
-0.05910331479145849,-0.11050161090175763
-0.06345113520093953,-0.10845593804520044
-0.06855514639683714,-0.10679340505985191
-0.06968280087675942,-0.10530898089252806
-0.06768053030490694,-0.10386173279300404
-0.05294041474831438,-0.10197575805060828
-0.05261856074894504,-0.10021300100412035
-0.04756208852495183,-0.09839745229794204
-0.06454023005067426,-0.09726887822303307
-0.07077987607763606,-0.09641439428285904
-0.04606341548767519,-0.09484092619550949
-0.054659032119679145,-0.0936232930416965
-0.05106031983616563,-0.09237144088859289
-0.05714547355847908,-0.0913649846791611
-0.04798820707589456,-0.0901600741901814
-0.048963535606895446,-0.08904665422847104
-0.04467111468598847,-0.08787887687209012
-0.04647058470361154,-0.08681712579084712
-0.04811664172801704,-0.08584961368927657
-0.055423902623522654,-0.0851075231754776
-0.052016449918060474,-0.08431964047887221
-0.04272321963251494,-0.08335228185453823
-0.04586359722616074,-0.08250026629480266
-0.04661069644400409,-0.08170272029811827
-0.048872920357098046,-0.08098902899505268
-0.04998125242983717,-0.08032928906813325
-0.04166323726223175,-0.07952374632217696
-0.05459610077320488,-0.07901501886199395
-0.045871990808667835,-0.07835215830092715
-0.03948866410161475,-0.07759012900290155
-0.039765211653920565,-0.07686272674619035
-0.05159526782765057,-0.07638598223829339
-0.030723099054178686,-0.07554037329043939
-0.049385989700905214,-0.07506483904335699
-0.02937489332417332,-0.07424894715551449
-0.0420870026095725,-0.0736847025143574
-0.047614424638519684,-0.07323521496477386
-0.046884886476979144,-0.07278859922769268
-0.04293614084785144,-0.0722910582546954
-0.04248754073696674,-0.07180247600030638
-0.04539706047789865,-0.07137658220155768
-0.035134598455744105,-0.0708013126182907
-0.03768819108135563,-0.07028392009427602
-0.03340828983439103,-0.06971660270566242
-0.04044588791540207,-0.06927310702702232
-0.0388121403148479,-0.0688184657328108
-0.0530170937041296,-0.0685860926147419
-0.03772919690259782,-0.0681388912276094
-0.04149757117511156,-0.06775830094114502
-0.03049519177396403,-0.06723346841766338
-0.033322690113273816,-0.06676248538565799
-0.03413085559812792,-0.06631547675843155
-0.035714068614746575,-0.06590194421594937
-0.03563952238942974,-0.06549844525826252
-0.026291861494282885,-0.06498256915610502
-0.029532987154228568,-0.06452218497426239
-0.029193223609127756,-0.06406924957214527
-0.03916285964326696,-0.06375397881355202
-0.037609412762227665,-0.06342717173791047
-0.03095328673972821,-0.06302625957743925
