reward,reward_accumulate
-0.08446764096858045,-0.08446764096858045
-0.011581130319765686,-0.04802438564417306
-0.011363567046277721,-0.03580411277820794
-0.001378329381072435,-0.02719766692892407
-0.006596868246339996,-0.023077507192407254
-0.011284218899121765,-0.021111959143526336
-0.02816869036206423,-0.022120063603317468
-0.0009300600791057938,-0.019471313162791007
-0.02461080030568605,-0.02004236728977934
-0.0010700226777687713,-0.018145132828578284
-0.0005673045499408747,-0.016547148439611248
-0.0015080049076515451,-0.015293886478614608
-0.0015132267823939958,-0.014233835732751483
-0.002305742014767057,-0.013381829038609742
-0.00735386440652349,-0.012979964729803995
-0.00040575692621847215,-0.012194076742079901
-0.012958034413089268,-0.01223901542860986
-0.001359785622979367,-0.0116346137727415
-0.005370761231837423,-0.01130493732322023
0.0,-0.010739690457059218
-0.0007665885008337025,-0.010264780840096098
-0.0012257818488299902,-0.009853917249584001
-0.00013050000096080194,-0.009431159977904731
-0.0024610447050480645,-0.00914073850820237
-0.0021861136948843236,-0.008862553515669646
-0.0007520114845713779,-0.008550609591396635
-0.0028480173240234283,-0.008339402470382814
-0.007216785682379035,-0.008299309013668394
-0.0021167214907759106,-0.008086116340465205
-0.00010457496304554059,-0.007820064961217883
-0.001925885945020291,-0.007629930154243767
-0.0024575036542275894,-0.007468291826118261
-0.002802128552276504,-0.007326892939032145
-0.00344814033818645,-0.007212811980183744
-0.002616437607328819,-0.007081486998102173
-0.001389602534957947,-0.006923379096348166
-0.001381776695960542,-0.006773606058499852
-0.004490217179612971,-0.0067135168774765126
-0.001253708643701066,-0.0065735217945591925
-0.0008264827852142756,-0.00642984581932557
-0.003114822025253091,-0.006348991580445755
-0.0007993352940703033,-0.006216856906960625
-0.0017434083386590417,-0.006112823219325704
-0.0004242490223339774,-0.005983537442121347
-0.0009916534223826476,-0.005872606686127153
-0.004211513092416966,-0.005836495955829103
-0.0031551861089636627,-0.005779446810151117
-0.001766408012520858,-0.005695841835200486
-0.0014704911637258926,-0.00560961018884386
-0.006472225333242422,-0.005626862491731829
-0.0014223158339618034,-0.0055444204004030054
-0.004408765634277771,-0.005522580885669829
-0.006984352424468684,-0.005550161480741507
-0.006350621912546248,-0.005564984822071225
-0.004203141192123992,-0.005540224028799458
-0.0019288585990738763,-0.005475735360411502
-0.00868546049186873,-0.00553204632763005
-0.003924883937493126,-0.00550433663124838
-0.0028073024369909706,-0.005458624187277915
-0.002242025115017748,-0.005405014202740246
-0.0027097619982104906,-0.0053608297403709045
-0.0013968491157771946,-0.005296894569006489
-0.0011363562895117705,-0.005230854278855781
-0.0004152306494109881,-0.005155610159645706
-0.0031469869652542954,-0.005124708264347376
-0.0014923526375414874,-0.0050696725730321355
-0.002411121839969568,-0.005029992711344636
-0.006593945741099023,-0.005052992020605729
-0.006126472900169986,-0.0050685497145124565
-0.0004140319081963595,-0.005002056602993655
-0.002016837195886616,-0.0049600112592315835
-0.0006807911421483562,-0.004900577646494316
-0.000585786798566369,-0.0048414709225500984
-0.0016693287762729366,-0.004798604136789596
-0.0005041591233175475,-0.004741344869943302
-0.0003283614838575297,-0.004683279299073752
0.0,-0.004622457489994872
-3.0052439521674135e-05,-0.004563580502168292
-0.0016015894577001482,-0.00452608694464338
-0.004052458558632198,-0.00452016658981824
-0.0010094819870473375,-0.004476824804598847
-0.0008808295697206108,-0.004432971204173503
-0.001343531024580964,-0.004395749033335039
-0.0010322368113183877,-0.004355707221168174
-0.0012728822521725388,-0.004319438692121166
-0.011375084664848975,-0.004401481087152886
-0.0032286994084520333,-0.004388000837972417
0.0,-0.0043381371920863665
-0.0005023012356742875,-0.004295037911677243
-0.0019424594578488503,-0.00426889815107915
-0.00192289076667243,-0.004243117850151604
-0.005050184923505387,-0.004251890318340233
-0.003708000125980581,-0.004246042036701957
-0.048056801425167925,-0.004712113945089891
-0.0035460519504328047,-0.004699839608304029
-0.0040259739172052575,-0.0046928201740217505
-0.006635189150343272,-0.004712844596458056
-0.004211728924942562,-0.00470773117123851
-0.00525343948365259,-0.00471324337641441
-0.0009069632481442132,-0.004675180575131709
