reward,reward_accumulate
-0.8743950293266054,-0.8743950293266054
-0.10996885643521508,-0.4921819428809091
-0.11078139336622303,-0.3650484263760134
-0.08269763003214006,-0.29446072729004524
-0.0628086879334774,-0.24813031941873143
-0.07977592807691924,-0.22007125419509582
-0.10803670287016723,-0.20406631829153488
-0.08377619502088661,-0.18903005288270353
-0.1050820955940447,-0.17970250207285227
-0.10809033364240103,-0.172541285229807
-0.08839683782305267,-0.16489179001101137
-0.06791802850926312,-0.15681064321919908
-0.051820906046400605,-0.14873450959052234
-0.05796941015128271,-0.14225128820200514
-0.07110982822216173,-0.13750852420334927
-0.05953878244675875,-0.13263541534356244
-0.06514588051841376,-0.12866544270678915
-0.08926099427410522,-0.12647630668275148
-0.08457291960012261,-0.1242708652573501
-0.06356155856643889,-0.12123539992280426
-0.07586506989530649,-0.11907490801673293
-0.05725552680560136,-0.11626493614349956
-0.04986722231110732,-0.11337807902035199
-0.06198290087362436,-0.11123661326423849
-0.08087632697942773,-0.11002220181284593
-0.06285403820146003,-0.10820804167394645
-0.04429385773479554,-0.10584084967620015
-0.04530234903231927,-0.10367876036749002
-0.052222526995681334,-0.10190440749259995
-0.06582986833139134,-0.10070192285389287
-0.03569951637844488,-0.09860507103210422
-0.02963381070679817,-0.09644971914693837
-0.03677309177896626,-0.09464133649942409
-0.03310036488934907,-0.0928313079226573
-0.036440983466615624,-0.09122015579534194
-0.03683232051030652,-0.08970938259298002
-0.05354919180711667,-0.08873208013930806
-0.044716052324531214,-0.0875737636178666
-0.050433187671251635,-0.08662144115769704
-0.030592957171557526,-0.08522072905804369
-0.036374503000343096,-0.0840293576907826
-0.03219837360516054,-0.08279528664112497
-0.03750063353482858,-0.08174192261539714
-0.03826569573205015,-0.08075382654986649
-0.04248618907826049,-0.07990343460605334
-0.034581680119520286,-0.07891817907373744
-0.036025729508936497,-0.07800557376384822
-0.027539741310252056,-0.07695420225439825
-0.030787748424114254,-0.07601202972724953
-0.055713120741814365,-0.07560605154754056
-0.02510945718435588,-0.07461592224630167
-0.011561117538118419,-0.07340332984806745
-0.03034898268547086,-0.07259098367518808
-0.023785233919625684,-0.07168717349452959
-0.023385356542381764,-0.07080895864085412
-0.02615274026719006,-0.0700115261698957
-0.02536159056921198,-0.06922819396637495
-0.037160384895806746,-0.06867530070653761
-0.016758731708656667,-0.06779535885911603
-0.02357443542129275,-0.06705834346848576
-0.021087528739733533,-0.06630472355489969
-0.02449467925519501,-0.06563036800167862
-0.015684157631480445,-0.0648375710116754
-0.023719590297731713,-0.06419510256302016
-0.030033305066253485,-0.06366953644768529
-0.025791979087632616,-0.0630956340634421
-0.027193780572451958,-0.06255978550387511
-0.028266912080039265,-0.06205547854176007
-0.025435174974496162,-0.06152474950455341
-0.026487725817546555,-0.06102422059473896
-0.019856303964545945,-0.06044439078304618
-0.021290773739258927,-0.059900590546326876
-0.04141771538390917,-0.05964740047560873
-0.03237041507013211,-0.05927879256472387
-0.03279665459335232,-0.058925697391772315
-0.022018779915277373,-0.058440080056555266
-0.01933968667969963,-0.05793228273997285
-0.03125039545983867,-0.05759020726202248
-0.03104254681060916,-0.0572541609271945
-0.020866930528956912,-0.05679932054721655
-0.02542077227546162,-0.05641193106238011
