reward,reward_accumulate
-0.25214190662284514,-0.25214190662284514
-0.16783686395904282,-0.209989385290944
-0.15707217438119137,-0.192350314987693
-0.15463748322171042,-0.18292210704619755
-0.14559427271894898,-0.1754565401807477
-0.15217662633241585,-0.17157655453935844
-0.14402143608420834,-0.167640109045766
-0.15422670473976116,-0.16596343350751533
-0.14498163115168236,-0.16363212213464465
-0.1529169746924372,-0.16256060739042374
-0.14693855460543184,-0.16114042077360594
-0.1492683643412628,-0.1601510827375775
-0.15164974314591703,-0.15949713353821934
-0.15759599531632607,-0.1593613379509413
-0.14905468539056604,-0.15867422778024987
-0.1531671278287122,-0.1583300340332792
-0.15702846523313932,-0.15825347116268254
-0.1585965799006188,-0.15827253275923517
-0.15600746823206163,-0.15815331883675227
-0.16061442894231204,-0.15827637434203048
-0.16035593692960823,-0.15837540113191492
-0.14995636471350834,-0.15799271765835052
-0.1521912948570827,-0.1577404818843821
-0.1571901071696434,-0.1577175496046018
-0.14623777180989758,-0.15725835849281394
-0.1411957044852689,-0.1566405641079084
-0.1377190331234969,-0.1559397666640409
-0.13787686299038523,-0.1552946629614099
-0.13983878596342803,-0.15476170168561765
-0.14015553625138605,-0.15427482950447668
-0.1431086436984611,-0.15391462996234734
-0.13305300932245784,-0.15326270431735162
-0.13707942180151678,-0.15277230181687185
-0.12388591905396006,-0.1519227023238449
-0.13531172049969137,-0.15144810284315452
-0.13314703745936596,-0.15093973991582701
-0.13905203449180084,-0.15061845058004272
-0.13201427309212557,-0.15012886696193992
-0.13227631063048692,-0.14967110910728743
-0.1380191955525223,-0.14937981126841846
-0.1442099116991609,-0.14925371615697308
-0.1363469870388395,-0.14894641308273193
-0.13468352081406304,-0.14861471791369296
-0.13552599846076013,-0.1483172470170354
-0.13072304173683064,-0.14792626467747486
-0.12874020812750347,-0.14750917649160553
-0.13296191744770924,-0.14719966034173468
-0.13431918813992277,-0.1469313171708634
-0.13336707490812855,-0.14665449590019478
-0.13819496023938352,-0.14648530518697828
-0.12369644071629529,-0.14603846470716061
-0.12070745934820966,-0.14555132998872036
-0.12465016141475614,-0.14515696831751312
-0.12578390285446875,-0.14479820784597483
-0.12676473355983536,-0.14447032649531813
-0.12278139646043605,-0.1440830241732666
-0.12240542663959568,-0.14370271544460567
-0.1252929144685101,-0.14338530508294872
-0.12353254804750166,-0.14304881767556824
-0.12433784321426347,-0.14273696810121292
-0.12430120326993295,-0.14243474244824073
-0.12803683465611077,-0.1422025181290131
-0.12136729565872388,-0.14187180031202448
-0.12151061939798215,-0.1415536568602425
-0.12952335765109452,-0.14136857533394795
-0.12431014479791257,-0.14111011426522022
-0.11918119967861537,-0.140782817032584
-0.12362801775075663,-0.140530540572557
-0.12430340511267327,-0.14029536469632647
-0.12110121305505454,-0.14002116253002295
-0.12201124509454236,-0.1397675017210728
-0.12161916542770823,-0.1395154414947761
-0.12975071520571202,-0.13938167812095348
-0.12179075594481507,-0.1391439629564112
-0.127457117282833,-0.13898813834743026
-0.12442305250773543,-0.13879649248111808
-0.12083782610610996,-0.13856326304767658
-0.12183604639989176,-0.13834881155219247
-0.12955831048455602,-0.1382375393867795
-0.12558461461126852,-0.13807937782708593
-0.12632548746965216,-0.1379342680695866
-0.12209279997637322,-0.13774107943430328
-0.12228625580823821,-0.13755487674001354
-0.1212480973746847,-0.1373607484142358
-0.1270913262039966,-0.13723993168235057
-0.12659856733411193,-0.13711619488760365
-0.11564734920809983,-0.13686942654645995
-0.11576388498340309,-0.13662959084687956
-0.12387381318663422,-0.13648626750238219
-0.12152506654775637,-0.1363200319362194
-0.11876116908361202,-0.13612707739937777
-0.11882737608388741,-0.13593903716768774
-0.12863024870152664,-0.13586044804439595
-0.12191457437095721,-0.13571208768616766
-0.1225162607712557,-0.1355731842449581
-0.1185992647985443,-0.13539637258405782
-0.12065013691261527,-0.1352443495358987
-0.12001967078221946,-0.1350889956710655
-0.12102709674258924,-0.13494695628794956
-0.1151749886536692,-0.1347492366116067
-0.12089916930004281,-0.13461210723228434
-0.1295414028095728,-0.13456239444382648
-0.12847382928888887,-0.13450328216076857
-0.11800624257907937,-0.13434465678017507
-0.12235870880283632,-0.13423050489467725
-0.12738671979427205,-0.13416594088429637
-0.12702806004220993,-0.1340992317175481
-0.11974746892667117,-0.1339663450250404
-0.11775343093216833,-0.13381760269391244
-0.12153784100708168,-0.1337059684967596
-0.1269266090242762,-0.13364489318619646
-0.12341935659741769,-0.13355359375236833
-0.12619902640856692,-0.1334885090856091
-0.12035680333430795,-0.13337331868428173
-0.1221154116937834,-0.13327542384088595
