server,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,cloud
-0.02203016756036368,-0.0075283266457829325,-0.03282216216211369,-0.012363118486807647,-0.01273460383473547,-0.009380313518481828,-0.008249260939218002,-0.030602916512625703,-0.021170213272491457,0
-0.01148190420861757,-0.022413875392965826,-0.01902995872597254,-0.011573197818533764,-0.014478208725866493,-0.0089587768059257,-0.008728946980410953,-0.03455570453411499,-0.03064868467986459,0
-0.007795569271141531,-0.005627028765951316,-0.03403210821085053,-0.01935909520261131,-0.014288985305069949,-0.014342795878851847,-0.0054062045319567004,-0.007910974732297715,-0.009838218089736724,0
-0.002706171389288022,-0.00016210173339026033,-0.015445023956965176,-0.009137058996755114,-0.004838918097673512,-0.019874568728257484,-0.014464267307670411,-0.010762297908372348,-0.014735117103306949,0
-0.011500138495748415,-0.0014107567614108868,-0.011422707637596192,-0.006710364092373963,-0.008861445935160663,-0.0048601802785295245,-0.007889697097689398,-0.005601294451253303,-0.01315710483168023,0
-0.010311471707034161,-0.0008166436671764591,-0.004982449062949693,-0.007557685592974691,-0.00660289827096915,-0.005090295470135786,-0.0015392478380145825,-0.0018905108955177392,-0.019956392908002087,0
-0.05080561853388454,-0.07598602395651581,-0.09525219349172535,-0.05784164573651015,-0.022596290582312665,-0.058990088613246096,-0.07251043942338944,-0.046620725755512814,-0.07092004724357238,-0.20484771543369432
-0.027372162094285196,-0.006323289155275068,-0.0647074388024215,-0.020205927378741627,-0.0309292893403694,-0.03084163202716298,-0.012101329443407291,-0.019631748247681893,-0.02910037820941709,-0.3092439128967638
-0.017967974717653,-0.009971486584935161,-0.014443592582251499,-0.006843183488006507,-0.007554154272934372,-0.00575804682770942,-0.0035432637359202224,-0.008289811732707925,-0.0023127303027077836,-0.20704525828307851
-0.01991019886429758,-0.00237876840081576,-0.018347108900048953,-0.002194317117693355,-0.01254543173411358,-0.0013946800735199748,-0.007797878020829572,-0.006079526740623932,-0.011358047681451057,0
-0.013291605657982783,-0.0037753634488249727,-0.010716953837682605,-0.004969969524182843,-0.014947338901209244,-0.008543718056021684,-0.002530676633214486,-0.010908294161865296,-0.010815029988761023,0
-0.0027888556635410205,-0.011624275373255874,-0.012462490451974062,-0.01769449407334558,-0.029598808961938863,-0.011807588143565629,-0.00740838148891777,-0.003877583682090066,-0.016648961997611365,0
-0.009568000900790932,-0.0021519000837626067,-0.005617466343643366,-0.021833471587642424,-0.017988117666817658,-0.011784956087439515,-0.003310493880335142,-0.008586244944394911,-0.029304821212926192,0
