reward,reward_accumulate
-0.07216556238585245,-0.07216556238585245
-0.06835724087960506,-0.0702614016327287
-0.0712245367557947,-0.07058244667375077
-0.07262115532774406,-0.07109212383724907
-0.072775000548768,-0.07142869917955293
-0.07290210320315657,-0.07167426651682034
-0.07135824027432233,-0.071629119910749
-0.07426535460113887,-0.07195864924704784
-0.06914111747247458,-0.07164559016098421
-0.07268854252447376,-0.07174988539733305
-0.07168029860752312,-0.07174355932553239
-0.07755488672397716,-0.07222783660873595
-0.07419701328310628,-0.0723793117375338
-0.0763210860612723,-0.07266086704637204
-0.0733636718670498,-0.07270772070108368
-0.07589899720166407,-0.07290717548236979
-0.07507852471449412,-0.07303490190778887
-0.07798950983937977,-0.07331015790398838
-0.07178572160809579,-0.07322992441473086
-0.07647895558294521,-0.07339237597314176
-0.07184748205606613,-0.07331880959613826
-0.07316526540991747,-0.07331183031494645
-0.06669449904498975,-0.07302412025973093
-0.07339469991419709,-0.07303956107866692
-0.07075527164688525,-0.07294818950139559
-0.07412635575636524,-0.07299350358812538
-0.07603577614278573,-0.07310618034940924
-0.07286092171541064,-0.07309742111248066
-0.07337521607140574,-0.07310700024899518
-0.07656932627272386,-0.07322241111645265
-0.07814176933253535,-0.07338110009116514
-0.0690273995115303,-0.07324504694805176
-0.07483699631075293,-0.07329328783783058
-0.0687203205927668,-0.07315878880121113
-0.07571545472984267,-0.07323183639917195
-0.07315678151813149,-0.07322975154136506
-0.08117046770199465,-0.07344436549165236
-0.07852469114437295,-0.07357805827198699
-0.07266814844108892,-0.07355472725068202
-0.07320972125707349,-0.07354610210084166
-0.0786120079504743,-0.07366966078010098
-0.0720781833792498,-0.07363176846103303
-0.07245275880502491,-0.07360434963182357
-0.07397449640177484,-0.07361276205841327
-0.0735689747903754,-0.07361178900801232
-0.06928603627963059,-0.07351775090522124
-0.07594518142408592,-0.07356939836306955
-0.07356963891950441,-0.07356940337466208
-0.06990900474661842,-0.07349470136184506
-0.0776143813112205,-0.07357709496083267
-0.07109866347774232,-0.07352849826508587
-0.0719077343545495,-0.07349732972834473
-0.07434125562755506,-0.07351325285851838
-0.07447514621864716,-0.07353106569852072
-0.07486082430058187,-0.0735552431276491
-0.07512556286432374,-0.07358328455151841
-0.07375441365175608,-0.07358628681643484
-0.07678946662732157,-0.07364151405455362
-0.07403651524674343,-0.07364820899001451
-0.07425497130058643,-0.07365832169519056
-0.07315085101333713,-0.07365000250368478
-0.07496319719148845,-0.07367118306316549
-0.06992210431412002,-0.07361167387667264
-0.0720682640513624,-0.07358755809815207
-0.07571272938691402,-0.07362025304105613
-0.07388716993510609,-0.07362429723642037
-0.07502258953391712,-0.07364516727071141
-0.07424113743510904,-0.07365393153783487
-0.07118194534231709,-0.07361810565094326
-0.07304485684508004,-0.07360991638228831
-0.0726020259331189,-0.07359572074215931
-0.0720655676197007,-0.0735744686154584
-0.07513844914279098,-0.07359589300624363
-0.07263051053131156,-0.07358284729712275
-0.06888413436146076,-0.07352019779131397
-0.0755418618581983,-0.07354679863429915
-0.07728579629516773,-0.07359535704547937
-0.07053970261192744,-0.07355618198863896
-0.07597742383015679,-0.07358683061954435
-0.07187885427965097,-0.07356548091529569
-0.07710756875985356,-0.07360921039485825
-0.07209444876911669,-0.0735907376921052
-0.07211358458978698,-0.07357294066677607
-0.07279810075977727,-0.07356371638216899
-0.07368649014103362,-0.07356516077933208
-0.07620201686318616,-0.07359582189658623
-0.0744001978813015,-0.07360506759755993
-0.07203767931499133,-0.0735872563670762
-0.0721293925096168,-0.07357087587429566
-0.07716039975117106,-0.07361075947292746
-0.07305785471087214,-0.07360468359642125
-0.06985017332423499,-0.07356387370215844
-0.07760425911676312,-0.07360731870661634
-0.07388151751602537,-0.07361023571522698
-0.07388562462835441,-0.07361313454589145
-0.06856859803147206,-0.07356058729053308
-0.0778898525139874,-0.07360521889077493
-0.06985183550549692,-0.07356691906031276
-0.07283635408558765,-0.07355953961612369
-0.0741083785391544,-0.07356502800535396
-0.06861719186071115,-0.07351603952867464
