delay,delay_avg
17614.055308619536,7.0456221234478145
46662.17067882603,18.664868271530413
74327.34876016289,29.730939504065155
104769.187437151,41.907674974860406
131435.72987218664,52.57429194887465
160069.79124026303,64.0279164961052
189688.94968100742,75.87557987240297
216689.20770803737,86.67568308321495
242874.41157936267,97.14976463174507
275556.1252756199,110.22245011024796
301968.33639830194,120.78733455932077
329420.13294859114,131.76805317943646
359239.6947852764,143.69587791411058
385956.7102536703,154.38268410146813
416390.79911562667,166.55631964625067
445325.6925402364,178.13027701609457
474171.25495905906,189.66850198362363
501320.6275500531,200.52825102002126
527764.8780785355,211.10595123141422
558612.1953838416,223.44487815353665
587233.519319554,234.8934077278216
614900.8479142903,245.9603391657161
644116.1979497819,257.6464791799128
671673.1363024618,268.66925452098474
701098.3237495593,280.4393294998237
728665.4656696942,291.4661862678777
757220.1617445264,302.88806469781053
784376.3221218472,313.7505288487389
811868.4015094659,324.7473606037864
842559.8025514123,337.0239210205649
869396.2488909651,347.758499556386
895848.5355910585,358.3394142364234
926043.3795780768,370.4173518312307
954972.9477917724,381.98917911670895
983088.9590721219,393.23558362884876
1010057.6154087264,404.02304616349056
1038668.8587995458,415.4675435198183
1069049.817561201,427.61992702448043
1096252.5250462375,438.501010018495
1126065.9457545101,450.42637830180405
1151716.2013023486,460.6864805209394
1181079.6183026535,472.4318473210614
1209732.985541723,483.8931942166892
1238639.2406398447,495.4556962559379
1267161.9590232335,506.8647836092934
1293685.2988509831,517.4741195403933
1322931.9313742835,529.1727725497134
1350737.8356038616,540.2951342415446
1380492.1821484205,552.1968728593682
1404846.589299927,561.9386357199708
1437188.7239956618,574.8754895982647
1468649.1472568621,587.4596589027449
1490026.2822116253,596.0105128846501
1517742.6785266504,607.0970714106602
1551242.702962443,620.4970811849772
1579088.440471942,631.6353761887768
1604350.9054128004,641.7403621651201
1630527.9155976223,652.2111662390489
1664469.8366493115,665.7879346597246
1691879.4337040097,676.7517734816039
1719307.3202826814,687.7229281130725
1751471.2071378557,700.5884828551423
1777989.558912122,711.1958235648488
1803468.1448998626,721.387257959945
1831132.1008221505,732.4528403288601
1859511.0168476817,743.8044067390726
1887711.3628058184,755.0845451223274
1915983.8129811857,766.3935251924743
1944822.467429347,777.9289869717388
1972794.9672675084,789.1179869070033
1999016.007163525,799.60640286541
2031854.0031439636,812.7416012575854
2055150.4660038508,822.0601864015404
2085507.7510032884,834.2031004013154
2112993.2796758506,845.1973118703403
2142553.2297547604,857.0212919019042
2169177.5285999426,867.6710114399771
2199666.325688153,879.8665302752612
2228757.332954379,891.5029331817515
2254830.525385848,901.9322101543391
2286809.8474788847,914.723938991554
