server,bus1,bus2,cloud
-0.02844967995821855,-0.03665851074640396,-0.03934590750889495,-0.09880824194194203
-0.029179080911177536,-0.05261405444856268,-0.0694382748959138,-0.09580942238374339
-0.015338720551276672,-0.03650685079543189,-0.08944312803651039,-0.09803867708242535
-0.012090874091543134,-0.025445772654605982,-0.05279420718637189,-0.09928763844607519
-0.024498072407212464,-0.046074023289367876,-0.0640750990174722,-0.09628797325148285
-0.03511144175314169,-0.048469381864947245,-0.10018960949049247,-0.10027859597456944
-0.01634681068634797,-0.04411412064091014,-0.08336192064012052,-0.0987756038688308
-0.02119864169883416,-0.02173013282849303,-0.062133872089012776,-0.1070080187038262
-0.0363670674849166,-0.03709641500499243,-0.07924682649453618,-0.10957644696497187
-0.02941745835217242,-0.04587697838992523,-0.10463598552508553,-0.10322765114103295
-0.018737387967213536,-0.05610453933069441,-0.10699081631805481,-0.09285615600309234
-0.024374346471570534,-0.04067092401809548,-0.0607116744244289,-0.0926247173090327
-0.024576058293553995,-0.04310433202398705,-0.06676725726465495,-0.09907628547542119
-0.04686341014466462,-0.0531662925973438,-0.09513605269864608,-0.10900779880651457
-0.019511567262528336,-0.05246705032203991,-0.07546843355410755,-0.09733593428610544
-0.03623389255534876,-0.03380764137909809,-0.06537199962829625,-0.09648736662295934
-0.03619990496556663,-0.03229392128898978,-0.04047893858454206,-0.09702413355901787
-0.03234518841109521,-0.024319901362527294,-0.04668050230181043,-0.10143044168296969
-0.034860728420280485,-0.027378426789241656,-0.06922552339775648,-0.09866101433289885
-0.040823854117797154,-0.03458873376588183,-0.0661413770443818,-0.10688382798083235
-0.02630056563326144,-0.054354162507666164,-0.07233740026409263,-0.11048035076481408
-0.0543828696960479,-0.056608359163836094,-0.045744838450163056,-0.09152911465717353
-0.04762657487836339,-0.032188319537096874,-0.041684361104592636,-0.09763525618261489
-0.05290485253546682,-0.02326654398743696,-0.07340608446031804,-0.10128530035534618
-0.046311220228652784,-0.039602626025159314,-0.08134466980388318,-0.10428358998276453
-0.041881231853271195,-0.041645889059599435,-0.086158581588069,-0.10071245880615383
-0.03162780076124476,-0.03846050338316574,-0.07865576725109122,-0.09592645307720894
-0.03437944219352998,-0.06848698948376988,-0.07512956093059871,-0.10992284139120657
-0.046528660030240476,-0.05080993817284942,-0.0733129866531214,-0.101471777124238
-0.05439627219758088,-0.029166849896131587,-0.07698216380661915,-0.09702124155763311
-0.04547660364393576,-0.030151632630080433,-0.061603369195455664,-0.09143546293180276
-0.045586727465130546,-0.048519980716370245,-0.04049128610396838,-0.10304677863540183
-0.04770096459495903,-0.024149482729861237,-0.0720093050362214,-0.08962312238699069
-0.03839538849702563,-0.03565669189120325,-0.06057901827520178,-0.09168710607780267
-0.058185455588961515,-0.027890086351638244,-0.06402420386124233,-0.09602060458842795
