reward,reward_accumulate
-0.3288780125033682,-0.3288780125033682
-0.048109754014089484,-0.1884938832587286
-0.04163278988092919,-0.13954018546612873
-0.050936852105897046,-0.11738935212607068
-0.04319414167329552,-0.10255031003551579
-0.041314700300861436,-0.09234437507974005
-0.022005091061472984,-0.08229590593427337
-0.021682165479091072,-0.07471918837737564
-0.02954286097783218,-0.06969959644409303
-0.022559034798163874,-0.06498554027950013
-0.03270238146055315,-0.06205070765959579
-0.036113018985714576,-0.059889233603438966
-0.02561514321941914,-0.0572527651123605
-0.02550489522330168,-0.05498506012028484
-0.02488179317891934,-0.05297817565752707
-0.025738899768646833,-0.05127572091447213
-0.01926566443320162,-0.04939277641557396
-0.018472483797606985,-0.047674982381242494
-0.021617243617078515,-0.04630352244628645
-0.03438340578912848,-0.0457075166134285
-0.016793948392252754,-0.04433068003146776
-0.015518448653491874,-0.04302103315065063
-0.025417703138198466,-0.042255670976196244
-0.01613955593770624,-0.041167499516259164
-0.016620024433446616,-0.04018560051294667
-0.012257103064915498,-0.03911142753417625
-0.0074414594709152045,-0.03793846575405548
-0.007398500926352419,-0.03684775272449463
-0.006544558698184319,-0.03580281499944948
-0.00977899768948708,-0.03493535442245074
-0.013628438971047735,-0.03424803456917967
-0.028090251249104643,-0.03405560384042734
-0.02372019344272246,-0.03374240958595139
-0.011826702050185071,-0.03309782995254654
-0.008072993629055503,-0.03238283462901826
-0.004284482946327659,-0.031602324860054605
-0.00537766974336971,-0.030893550397441495
-0.008480267336195179,-0.030303727158987624
-0.005025162724001486,-0.029655558840141847
-0.007555084726906721,-0.02910304698731099
-0.005810280734615458,-0.02853493073724523
-0.007436354894429936,-0.028032583693368668
-0.00662870530792417,-0.027534819079753668
-0.006327867385651365,-0.027052842904887714
-0.004710478426006665,-0.02655634591646813
-0.0038185188307637155,-0.02606204532764849
-0.007979755435862263,-0.025677315755482804
-0.006391907862572579,-0.025275536424380508
-0.011218036652558421,-0.02498864867393516
-0.019832172886761378,-0.02488551915819168
-0.005462211782223547,-0.024504669993957024
-0.003700009734662767,-0.024104580373585982
-0.0019568195259151485,-0.023686698093441233
-0.0022746176757312123,-0.02329017808570584
-0.012086458733031194,-0.023086474097475395
-0.008517438426476374,-0.022826312746207562
-0.008863738264616368,-0.02258135529916211
-0.0037645189721630216,-0.022256927086627642
-0.00435906853225903,-0.021953573551807822
-0.0067316039065759906,-0.02169987405772061
-0.004030778395174714,-0.021410216751777227
-0.007252579870973839,-0.02118186776982878
-0.003982341855641962,-0.02090885942198454
-0.007257450597932848,-0.020695556159108716
-0.019405239670618475,-0.020675705136208845
-0.008383772966617449,-0.02048946373969988
-0.0058088521107619315,-0.020270350133297824
-0.0024681159791282285,-0.020008552572207104
-0.0018094511735386543,-0.019744797479472772
-0.0030418024994567313,-0.019506183265472533
-0.006735032748137887,-0.019326307906073457
-0.0048348586215510225,-0.019125037777121746
-0.0050219380237294725,-0.018931844629815005
-0.004036646776624197,-0.018730558172339463
-0.02212966827724315,-0.018775879640404853
-0.022835491287124712,-0.018829295583124867
-0.011072924289525013,-0.018728563488402784
-0.005025041252304223,-0.01855287730588871
-0.00569815623017401,-0.018390159317588525
-0.0063583008201352886,-0.01823976108637036
-0.022561613230289813,-0.018293117285678
