server,bus1,bus2,bus3,bus4,bus5,cloud
-0.49991807541366995,-1.14909761828309,-0.8714113237870309,-0.4749148209096121,-0.45045350494156,-0.5603333705786838,-0.23799075426993666
-0.20819801588874448,-0.2643170247889265,-0.12367145372974317,-0.20680505058926957,-0.23812339329723786,-0.254342013614858,-0.27450899158898323
-0.167540284444453,-0.2825973292024497,-0.14022902218715755,-0.23181674203410205,-0.19283279831862118,-0.2239230567527498,-0.2653589825605906
-0.18915159954305674,-0.260931347648497,-0.21668158731049555,-0.20904109842846266,-0.3713486562106742,-0.18673632684661723,-0.2813739215044301
-0.21245556384495315,-0.27656213221885717,-0.19292132221021374,-0.22789225857932124,-0.1581592637370732,-0.19127686537671626,-0.26080569614032023
-0.15548843136363982,-0.13516497055912638,-0.1298164322896544,-0.11502022167129218,-0.021071958903180747,-0.1496814511260164,-0.216444431628595
-0.1013483523363183,-0.22637151722869953,-0.09961581774359919,-0.15330170274350843,-0.11549891685184993,-0.156267706710226,-0.15840882503249584
-0.04982232517793085,-0.13658668001605034,-0.06186440287222554,-0.11409048459019581,-0.06735593313634206,-0.09232449115995374,-0.13525557666503127
-0.06854032529627163,-0.17203360339263313,-0.04278053394742956,-0.09244924823060525,-0.02857313736187595,-0.09630253196708206,-0.146472712674124
-0.0407994474200887,-0.1271521019812596,-0.06242611179895757,-0.08284415705758973,-0.05164320382294419,-0.07395171020755799,-0.1726094289435738
-0.06695042163399863,-0.1683091766272057,-0.05105796558830085,-0.1070580733636373,-0.05313239172029513,-0.13465055713117724,-0.13188273789943045
-0.065485764741182,-0.11584287980485629,-0.041153500022068905,-0.08578148746825853,-0.04176760146147,-0.10013910209483666,-0.12955311712750808
-0.04639224993803446,-0.07911324413370381,-0.035885700666799455,-0.03177128185222553,-0.0023701551084173034,-0.11263965941786468,-0.10175366527633738
-0.04759988017363918,-0.08055815926409107,-0.03332068042290732,-0.06425177856730979,-0.028920267394865768,-0.09127897363805497,-0.09369137201952678
-0.01943816996220188,-0.08574289623613301,-0.017765398235185647,-0.04653957800447056,-0.009151531479876561,-0.07434585316755526,-0.08428770289088577
-0.031147898520320978,-0.08542172445637047,-0.018359237140999282,-0.040385090760263205,-0.020316509458844438,-0.07869047501670873,-0.08457363578267717
-0.03072699742758429,-0.08059989818756931,-0.018705090585149645,-0.04996852605255958,-0.020427610114183394,-0.07975424054886904,-0.09704899893702792
-0.024921414294176502,-0.10319102355710705,-0.013494708637187847,-0.05947134230230659,-0.03799725358046997,-0.08758018600636329,-0.10534228877198892
-0.034727351731938895,-0.1118144754163092,-0.025188513789395243,-0.04771987594489754,-0.03439802264044776,-0.08781848682516682,-0.11012991471731602
-0.04589416469445097,-0.13032495211115164,-0.0292095780696668,-0.08381632240034066,-0.03996472737937626,-0.09384298992126903,-0.11484791338387183
-0.051968526165770385,-0.09562888344857852,-0.01691605348099776,-0.0643079797343216,-0.03738128717440092,-0.10926868488348121,-0.12673062198891857
-0.031438635277443866,-0.08533172018199535,-0.03618928699724293,-0.0657168238056415,-0.040577640424358685,-0.11223720943426739,-0.11008658963195031
-0.02743163468867552,-0.0466869514408011,-0.024701238380755237,-0.05792960533133418,-0.010340415460799973,-0.10798380293113426,-0.11727472936988431
-0.03386664892326203,-0.06317512199904776,-0.014623228906494706,-0.06017499714329389,-0.01264241748542673,-0.1244535571750799,-0.11933141562286126
-0.034826163104106064,-0.09496873523013773,-0.011062387593165435,-0.08379511739105129,-0.03286288719739472,-0.10320256851925184,-0.1101257323314358
-0.04084613209039713,-0.0685676014591695,-0.015371690384728092,-0.042005550328993085,-0.012665128610884365,-0.06844334340864723,-0.10564652050424629
-0.01883678886487991,-0.06842254863102933,-0.02095562628049371,-0.06358997919962497,-0.00887305705095143,-0.11278686438872684,-0.08147251528254693
-0.015854422539437005,-0.03677595975822394,-0.003683165167148105,-0.024121724940377582,-0.0083989665057685,-0.07091174947890463,-0.06927962370871273
-0.017620918576951642,-0.027214778035556858,-0.004547892508851303,-0.017776299761579007,-0.004770410197819689,-0.08290062467783615,-0.08294881704780384
-0.030595127005011748,-0.06504337656000339,-0.012971433669977132,-0.02152432252860881,-0.01737313512662206,-0.05783095626850656,-0.08393160024654024
-0.021631660035840793,-0.05297674336457616,-0.021634182268105703,-0.01859221227975248,-0.01604543628396814,-0.07297948933667842,-0.08225947854349482
-0.01710896607211673,-0.006177380034206913,-0.008842248616509259,-0.01709747026256674,-0.010958758489087422,-0.08729523978937583,-0.07198474062699799
-0.013771073252587585,-0.017171028640845472,-0.0008368185048104022,-0.025210939818717054,-0.028485520063035487,-0.045035323530827794,-0.08184585392916999
-0.007357453808832855,-0.011453213820348857,-0.004131575267953204,-0.040902975408048076,-0.006536850758688324,-0.054405850619158674,-0.07448647315492365
-0.019676621423355453,-0.020881212126729234,-0.010756010419328426,-0.0314564335590025,-0.006803284015830872,-0.0662572473615753,-0.07174498502650375
-0.01753217557986724,-0.02031395944343178,-0.010841663552670576,-0.002924300284847042,-0.019365331178432,-0.0639813799397705,-0.06999875590156313
-0.024251175628865865,-0.022042017942841916,-0.005319431645095188,-0.02303453571638112,-0.01872641978222378,-0.06468550352850362,-0.07364646341203568
-0.014593595693221231,-0.03747513631304829,-0.012056744560888554,-0.025433175656506934,-0.015879604638037767,-0.036290032298973554,-0.08551768900936739
-0.027718490915900753,-0.0432299811384146,-0.01705795565702375,-0.02931218455233984,-0.03245112616774404,-0.03947217819744355,-0.09880688863057917
-0.03783675524020602,-0.060358429494384816,-0.0016478500951609472,-0.0217014985418935,-0.015523130725702279,-0.04513409969232575,-0.10414522962400889
-0.03740139754740518,-0.04197123831819107,-0.05630189018621352,-0.03925839921236399,-0.07474773524759952,-0.06053836860384497,-0.10935002835429382
-0.035502208479416715,-0.09084873796434342,-0.029313497197346144,-0.049335802675116544,-0.01835774299225968,-0.043735001836801506,-0.09705975905437018
-0.03231155060628343,-0.031235282842664185,-0.01898396007487018,-0.006509694529434442,-0.006444598545484564,-0.044707570399566895,-0.082662282963896
-0.02540489147823498,-0.01705795982312739,-0.0192881406335281,-0.024807407319599666,-0.03163489065646921,-0.057187174702649765,-0.07793738904078247
-0.02192584153917475,-0.003660725772158889,-0.012578763934774475,-0.00466190657852685,-0.014737051752208246,-0.05337280817215715,-0.08897157532082622
-0.01812979000054698,-0.0171842086488636,-0.018278019907887157,-0.007500059703711111,-0.02876095543256086,-0.054607522494807034,-0.08432806231144198
-0.046630175824110484,-0.056817597294468856,-0.03406533195831657,-0.03314126446168657,-0.05941051846149988,-0.05686322446231792,-0.10903859088173715
-0.041170748252114586,-0.035871616429718534,-0.031359355396745725,-0.017920240194202092,-0.03193226552832803,-0.05019440020501988,-0.12038549369098302
-0.022745177875041787,-0.043162091888021364,-0.019390493180042025,-0.02277605210214149,-0.046159636504267014,-0.03331192039699919,-0.09644876330969065
-0.041841419159367114,-0.05621482278561214,-0.008393537877620176,-0.009281229842383807,-0.013586133343040768,-0.02526145301862473,-0.10481638258611775
-0.022200329768751137,-0.036618990917681594,-0.02909799310374068,-0.028728998310655392,-0.02089019962430215,-0.015209207875548726,-0.07909758551664399
-0.022135888702692265,-0.055984887894984264,-0.0157182465412432,-0.009278552152044315,-0.018093283698513457,-0.006751184714222164,-0.09488590729989695
