reward,reward_accumulate
-0.6995407434241765,-0.6995407434241765
-0.20479387807996163,-0.45216731075206934
-0.15258518248184924,-0.3523066013286628
-0.1851238355631181,-0.31051090988727836
-0.17849775792875772,-0.2841082794955755
-0.17988218973694442,-0.266737264535804
-0.14111553635423812,-0.24879130336700914
-0.1551109735085199,-0.23708126213469796
-0.14798367850186486,-0.2271815306199395
-0.14387320439597395,-0.21885069799754303
-0.1315846438562699,-0.21091742034833663
-0.14000843044028055,-0.205008337856
-0.14621899582934927,-0.20048608077702837
-0.14448496416036916,-0.19648600101869496
-0.11442731604101711,-0.19101542202018426
-0.12884710028993143,-0.1871299019120425
-0.12762412297746403,-0.18362956197471395
-0.1187222980180342,-0.18002360286600985
-0.11866526375189189,-0.1767942165968457
-0.1287973276457395,-0.1743943721492907
-0.1164075921400583,-0.1716330969107559
-0.11044294161220974,-0.1688517262153672
-0.09026473391605833,-0.16543490046322365
-0.09305831602991287,-0.16241920944516877
-0.09442516129551744,-0.15969944751918302
-0.10308688489304184,-0.15752204126433145
-0.08562920598221645,-0.1548593436612903
-0.08596907582389035,-0.15239897695281177
-0.09000207845862103,-0.1502473597633569
-0.08180845552620983,-0.14796606295545203
-0.0821673926242728,-0.14584352520283378
-0.09266814064517533,-0.14418179443540746
-0.07002854432918346,-0.14193472625037024
-0.06606724184531255,-0.1397033296502211
-0.07479872616781384,-0.13784891240786676
-0.06927358899631242,-0.13594404231310103
-0.06869291043223363,-0.13412644415415795
-0.07522082849499374,-0.13257629637365315
-0.07321698246164923,-0.1310542626836024
-0.0721762430826179,-0.12958231219357771
-0.0744965719825631,-0.1282387575542849
-0.0705256520957344,-0.12686463599574815
-0.08410536450508024,-0.12587023433317487
-0.07556017298788376,-0.1247268238480547
-0.07937784003787315,-0.12371906865227313
-0.08189165212851587,-0.1228097769887136
-0.06704094365281643,-0.12162320606667329
-0.07144305065750028,-0.12057778616231532
-0.07543599356949675,-0.11965652508899234
-0.0891606032095396,-0.11904660665140304
-0.05897497711494242,-0.11786873156245278
-0.05749333903917335,-0.11670766632162012
-0.06040083209899734,-0.11564527322308
-0.058612278580739495,-0.11458910665562923
-0.05689538637770677,-0.11354012992330305
-0.05251388957149713,-0.1124503756313062
-0.06382242950004442,-0.11159725376935369
-0.05665737045396221,-0.11065001440184712
-0.05608026972414136,-0.10972510347510639
-0.0667761103610741,-0.1090092869232056
-0.06645020164491304,-0.10831159700061102
-0.054552289284079986,-0.10744451139227958
-0.058238958397761,-0.10666347086855676
-0.05989634616755253,-0.10593273454510359
-0.06678993901277822,-0.10533053769076005
-0.06522983565970286,-0.10472295129634997
-0.07444267938588857,-0.10427100693947775
-0.06205969342463117,-0.1036502523289654
-0.05898712545967605,-0.10300296063520778
-0.06187634802422794,-0.10241543759790817
-0.06737196455732694,-0.10192186755508319
-0.06430775636560092,-0.10139944934411796
-0.06267895308455224,-0.10086903158713763
-0.06030741344262182,-0.10032090161221191
-0.059911229060630455,-0.09978210597819043
-0.06012499393685039,-0.09926030187238337
-0.0624698011146861,-0.09878250316124426
-0.05920851392498576,-0.09827514432488181
-0.05809739785513358,-0.09776656525564449
-0.05748747314663385,-0.097263076604282
-0.0588576786738003,-0.09678893588909084
